,Country,Transportation Mode,Order Type,Fulfillment Method,Product Category,Vendor Incoterm,Reason Code,Reason Code Duration,Item Tracer Category,Illustrative Price,Ordered Quantity,Shipped Quantity,TLP Indicator,Deliver,Process PO/DO,USAID Approval,RO Validation,Sourcing and Planning,Manufacture,Pick Up,Quality Assurance,Estimated Lead Time in Days,Estimated Lead Time in Days,Average Days Late,Estimated Lead Time in Days,Estimated Lead Time in Days,Order Cycle Time
2731,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-35.0,Laboratory,13.64,115,115,DCP,15.0,34.0,0.0,6.0,35.0,75.0,28.0,-63.5,35.0,35.0,0.0,35.0,35.0,99
2732,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-35.0,Laboratory,29.84,9,9,DCP,15.0,15.0,3.0,6.0,35.0,75.0,28.0,-63.5,175.0,175.0,0.0,175.0,175.0,160
2735,Rwanda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,UD,-35.0,Laboratory,56.76,1820,1820,DCP,15.0,89.0,0.0,6.0,35.0,75.0,28.0,-63.5,56.0,56.0,46.0,56.0,56.0,113
2738,Uganda,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-35.0,Laboratory,17.61,18,18,DCP,15.0,76.0,16.0,6.0,35.0,75.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,300
2814,Nigeria,Air,Purchase Order,Direct Drop,Essential Medicines,FCA ABUJA,AD,-45.0,Other Pharma,0.76,4814,4814,GSC,5.0,28.0,3.0,7.0,62.0,72.0,36.0,35.0,0.0,0.0,36.0,0.0,0.0,176
2941,Haiti,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,AD,-45.0,Other Pharma,13.65,110,110,GSC,27.0,48.0,24.0,7.0,62.0,72.0,36.0,35.0,210.0,210.0,0.0,210.0,210.0,371
2947,United Arab Emirates,Air,Replenishment Order,Direct Drop,Essential Medicines,FCA,AD,-45.0,Other Pharma,4.29,200,200,GSC,11.0,54.0,3.0,7.0,62.0,72.0,36.0,35.0,210.0,210.0,77.0,210.0,210.0,273
3620,Rwanda,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,AD,-45.0,Other Pharma,11.27,3433,3433,GSC,14.0,8.0,8.0,7.0,62.0,72.0,36.0,35.0,175.0,175.0,0.0,175.0,175.0,182
3622,Eswatini,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,UD,-45.0,Other Pharma,4.29,788,788,GSC,7.0,23.0,0.0,7.0,62.0,72.0,36.0,35.0,84.0,84.0,-12.0,84.0,84.0,95
3624,Haiti,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,UD,-45.0,Other Pharma,2.5,1400,1400,GSC,22.0,55.0,24.0,7.0,62.0,72.0,36.0,35.0,119.0,119.0,69.0,119.0,119.0,242
